DYE MACHINE	Actual St/ Code	Extended status	Shift date	Row name
FLASH  ORDER WEEK 45 del 13ov			2015-07-16	ECO 14
1602219	A12985A-AM		2015-07-13	LR 01
1601672	A12952A-AM		2015-07-14	LR 01
M1022448	A13188A-TH		2015-07-14	LR 01
1602145	A13188A-TH		2015-07-14	LR 01
1601624	A13188A-TH		2015-07-14	LR 01
1602143	A13188A-TH		2015-07-14	LR 01
1602144	A13188A-TH		2015-07-14	LR 01
M1022466	A13193A-NI		2015-07-15	LR 01
1600596	A13193A-NI		2015-07-15	LR 01
1602296	A13219A-NI		2015-07-15	LR 01
1602097			2015-07-15	LR 01
1602098			2015-07-15	LR 01
STOP LR 10			2015-07-16	LR 01
INSTANT SPEED ORDER.			2015-07-16	LR 01
1600927	A12635D-LI		2015-07-10	LR 02
1601250	A12635D-LI		2015-07-10	LR 02
1599772			2015-07-12	LR 02
M1022329	A13219A-NI		2015-07-12	LR 02
1601121	A13219A-NI		2015-07-12	LR 02
1601122	A13219A-NI		2015-07-12	LR 02
M1022464	A12992A-PA		2015-07-13	LR 02
1601266	A12992A-PA		2015-07-13	LR 02
1602288	A12992A-PA		2015-07-13	LR 02
1602148	A13266A-NI		2015-07-13	LR 02
1601631	A13266A-NI		2015-07-13	LR 02
1601632	A12664B-EM		2015-07-14	LR 02
1602087	A13266A-NI		2015-07-14	LR 02
1602261			2015-07-15	LR 02
STOP LR 03			2015-07-16	LR 02
INSTANT SPEED ORDER 2013.			2015-07-17	LR 02
1593940	A12741A-PA		2015-07-19	LR 02
1601627	A13047B-PA		2015-07-10	LR 03
1601810	A13047B-PA		2015-07-10	LR 03
1601811	A13047B-PA		2015-07-10	LR 03
1597718ODE1	?		2015-07-11	LR 03
1601658	23053		2015-07-11	LR 03
1599678	23054		2015-07-11	LR 03
STOP LR 05			2015-07-16	LR 03
1601656	A13193A-NI		2015-07-10	LR 04
1601120	A13193A-NI		2015-07-10	LR 04
1601172	A13046A-PA		2015-07-11	LR 04
1602147	A12985B-AM		2015-07-12	LR 04
1601630	A12950B-AM		2015-07-12	LR 04
STOP LR 4			2015-07-16	LR 04
1601429	A12952A-AM		2015-07-11	LR 05
1601125	A12952A-AM		2015-07-11	LR 05
1601622	A13188A-TH		2015-07-12	LR 05
1601623	A13188A-TH		2015-07-12	LR 05
1602272			2015-07-13	LR 05
1602269			2015-07-13	LR 05
1602270			2015-07-14	LR 05
M1022462			2015-07-14	LR 05
1602271			2015-07-14	LR 05
1602273			2015-07-14	LR 05
STOP TH 43			2015-07-16	LR 05
1602070			2015-07-16	LR 05
1602071			2015-07-17	LR 05
1602069			2015-07-17	LR 05
Preventive Maintenance1			2015-07-17	LR 05
1601774	A13109A-NI		2015-07-10	LR 06
1601936	A13109A-NI		2015-07-10	LR 06
1601937	A13109A-NI		2015-07-10	LR 06
1601938	A13109A-NI		2015-07-10	LR 06
M1022274	A13219A-NI		2015-07-10	LR 06
1601637	A13219A-NI		2015-07-10	LR 06
1600595	A13219A-NI		2015-07-10	LR 06
1602077	A13266A-NI		2015-07-11	LR 06
1602083			2015-07-14	LR 06
1602084			2015-07-14	LR 06
1602086			2015-07-14	LR 06
